City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Rikitea,PF,77.41,light rain,-23.1203,-134.9692,People ThankYou
3,Tambura,SS,77.97,overcast clouds,5.6,27.4667,Rikito Lodge
12,Kapaa,US,80.92,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
17,Ixtapa,MX,81.63,clear sky,20.7,-105.2,Hotel Plaza Providencia
18,Avarua,CK,82.45,moderate rain,-21.2078,-159.775,Paradise Inn
21,Sinnamary,GF,78.19,light rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
22,Hilo,US,78.53,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
24,Butaritari,KI,81.18,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
25,Beira,MZ,80.69,few clouds,-19.8436,34.8389,Beira Terrace Hotel
28,Cockburn Town,TC,80.56,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
36,Poum,NC,78.78,very heavy rain,-20.2333,164.0167,Gîte kajeon
37,Atuona,PF,78.82,light rain,-9.8,-139.0333,Villa Enata
40,Cabo San Lucas,MX,81.52,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
42,Nisia Floresta,BR,83.21,broken clouds,-6.0911,-35.2086,Rancho Crepusculo
46,Vaini,TO,84.36,scattered clouds,-21.2,-175.2,Keleti Beach Resort
47,Grand Gaube,MU,76.37,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
57,Faanui,PF,81.3,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
74,Georgetown,MY,77.9,few clouds,5.4112,100.3354,Cititel Penang
79,Bambous Virieux,MU,76.21,light rain,-20.3428,57.7575,Casa Tia Villa
84,Puerto Ayora,EC,76.96,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
93,Gamba,GA,77.68,overcast clouds,-2.65,10.0,
102,Port Blair,IN,78.64,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
113,Waingapu,ID,80.01,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
119,Saint-Joseph,RE,75.56,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
120,Kalmunai,LK,76.95,moderate rain,7.4167,81.8167,VS Villa
122,Mopti,ML,81.39,broken clouds,14.6667,-4.0,
126,Alice Springs,AU,78.35,clear sky,-23.7,133.8833,Desert Palms Alice Springs
129,Neuquen,AR,76.89,clear sky,-38.9516,-68.0591,Hotel del Comahue
130,Boende,CD,76.21,overcast clouds,-0.2167,20.8667,
131,Port-Gentil,GA,80.56,scattered clouds,-0.7193,8.7815,Fengshui Residence
132,Saint-Philippe,RE,76.55,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
135,Kavaratti,IN,81.84,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
147,Domoni,KM,78.1,broken clouds,-12.2569,44.5319,Al Djadid
150,Biak,ID,77.65,overcast clouds,-0.9131,122.8766,Penginapan Kim
151,Amahai,ID,79.68,broken clouds,-3.3333,128.9167,HOTEL ISABELA
153,Kontagora,NG,78.49,broken clouds,10.3999,5.4695,Queens Guest Inn
157,Cabedelo,BR,83.07,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
158,Nabire,ID,77.67,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
163,Makakilo City,US,82.72,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
172,Itupiranga,BR,84.52,overcast clouds,-5.1347,-49.3267,Hotel Panorama
176,Sao Gabriel Da Cachoeira,BR,77.52,overcast clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
