City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Guerrero Negro,27.9769,-114.0611,59.85,75,100,9.13,overcast clouds
1,Mataura,-46.1927,168.8643,58.48,45,12,5.86,few clouds
2,Albany,42.6001,-73.9662,39.72,62,18,4.88,few clouds
3,Hilo,19.7297,-155.09,73.13,50,75,5.75,light rain
4,Bluefield,37.2698,-81.2223,30.76,68,1,1.01,clear sky
5,Hasaki,35.7333,140.8333,55.29,33,0,17.87,clear sky
6,Avarua,-21.2078,-159.775,71.65,94,75,8.05,moderate rain
7,Rikitea,-23.1203,-134.9692,77.49,79,83,9.22,light rain
8,Bluff,-46.6,168.3333,58.8,80,2,12.97,clear sky
9,Bilibino,68.0546,166.4372,-30.64,91,76,5.08,broken clouds
10,Port Alfred,-33.5906,26.891,74.91,83,100,3.98,overcast clouds
11,Saskylakh,71.9167,114.0833,-44.21,100,68,3.91,broken clouds
12,Puerto Ayora,-0.7393,-90.3518,67.55,99,83,3.0,broken clouds
13,Iqaluit,63.7506,-68.5145,2.93,65,90,5.01,overcast clouds
14,Finschhafen,-6.6024,147.8681,84.79,73,99,3.89,overcast clouds
15,Vangaindrano,-23.35,47.6,84.72,56,21,5.79,few clouds
16,Excelsior Springs,39.3392,-94.2261,45.37,43,1,3.44,clear sky
17,Punta Arenas,-53.15,-70.9167,42.91,65,40,16.11,scattered clouds
18,Tiarei,-17.5333,-149.3333,80.62,76,42,11.86,light rain
19,Neryungri,56.6709,124.6491,-19.98,98,93,0.16,overcast clouds
20,Jamestown,42.097,-79.2353,40.59,62,1,1.01,clear sky
21,Rovaniemi,66.5,25.7167,29.61,100,75,9.22,light snow
22,Bredasdorp,-34.5322,20.0403,65.52,88,75,6.91,light rain
23,Cape Town,-33.9258,18.4232,71.11,74,20,4.0,few clouds
24,Seddon,-37.8068,144.8916,91.2,26,0,10.36,clear sky
25,Walvis Bay,-22.9575,14.5053,60.1,88,90,3.44,overcast clouds
26,Zhigansk,66.7697,123.3711,-35.91,99,61,11.14,broken clouds
27,Ushuaia,-54.8,-68.3,38.82,87,75,5.75,broken clouds
28,Abu Dhabi,24.4667,54.3667,73.51,68,0,4.61,clear sky
29,Churapcha,62.0025,132.4325,-26.41,100,97,2.06,overcast clouds
30,New Norfolk,-42.7826,147.0587,75.65,30,100,3.51,light rain
31,Busselton,-33.65,115.3333,69.98,45,100,14.34,overcast clouds
32,Almeirim,-1.5233,-52.5817,73.18,94,100,3.42,overcast clouds
33,San Andres,12.5847,-81.7006,80.62,78,40,13.8,scattered clouds
34,Berlevag,70.8578,29.0864,33.75,93,75,7.27,light shower snow
35,Saint-Philippe,-21.3585,55.7679,85.55,66,1,12.37,clear sky
36,Port Keats,-14.25,129.55,90.45,57,44,11.07,scattered clouds
37,Victoria,22.2855,114.1577,74.17,64,1,1.01,clear sky
38,Moron,-34.6534,-58.6198,73.15,70,100,4.34,light rain
39,Kasangulu,-4.5911,15.1708,72.54,87,100,3.49,overcast clouds
40,Leningradskiy,69.3833,178.4167,-30.62,89,27,3.8,scattered clouds
41,Tromso,69.6496,18.957,32.38,93,75,8.05,light shower snow
