City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Albany,42.6001,-73.9662,40.8,49,0,9.04,US,2021-12-13 00:22:36
1,Mount Isa,-20.7333,139.5,98.37,9,7,6.91,AU,2021-12-13 00:25:42
2,Pisco,-13.7,-76.2167,66.25,88,20,14.97,PE,2021-12-13 00:27:17
3,Bluff,-46.6,168.3333,65.8,71,20,9.26,NZ,2021-12-13 00:27:17
4,Rikitea,-23.1203,-134.9692,77.81,75,88,7.85,PF,2021-12-13 00:27:18
5,Mataura,-46.1927,168.8643,65.48,36,54,3.74,NZ,2021-12-13 00:27:18
6,Daloa,6.8774,-6.4502,73.98,78,7,3.09,CI,2021-12-13 00:27:18
7,Manakara,-22.1333,48.0167,73.42,84,37,2.28,MG,2021-12-13 00:27:18
8,Saskylakh,71.9167,114.0833,-44.7,100,71,3.49,RU,2021-12-13 00:27:19
9,Chongwe,-15.3292,28.682,71.11,40,70,3.62,ZM,2021-12-13 00:27:19
10,Mitu,1.1983,-70.1733,75.43,89,85,2.53,CO,2021-12-13 00:27:19
11,Cherskiy,68.75,161.3,-42.83,100,53,1.72,RU,2021-12-13 00:27:20
12,Juba,4.8517,31.5825,76.17,32,82,0.98,SS,2021-12-13 00:25:10
13,Bukavu,-2.5083,28.8608,61.3,91,100,1.19,CD,2021-12-13 00:27:20
14,Mazatlan,23.2167,-106.4167,75.9,83,20,1.01,MX,2021-12-13 00:25:17
15,Lasa,46.6166,10.7002,40.08,93,66,6.76,IT,2021-12-13 00:23:56
16,Rong Kwang,18.339,100.3174,60.28,76,3,2.98,TH,2021-12-13 00:27:20
17,Lumsden,50.6501,-104.8678,33.08,82,56,10.2,CA,2021-12-13 00:27:20
18,Christchurch,-43.5333,172.6333,65.48,72,90,7.0,NZ,2021-12-13 00:27:21
19,Upernavik,72.7868,-56.1549,6.13,92,100,11.07,GL,2021-12-13 00:27:21
20,Puerto Ayora,-0.7393,-90.3518,68.56,96,99,4.0,EC,2021-12-13 00:27:21
21,Marinette,45.1,-87.6307,37.89,64,1,10.36,US,2021-12-13 00:27:22
22,Nemuro,43.3236,145.575,32.43,62,17,31.9,JP,2021-12-13 00:27:22
23,Georgetown,5.4112,100.3354,76.95,83,20,2.3,MY,2021-12-13 00:27:22
24,Qaanaaq,77.484,-69.3632,-3.91,72,76,4.79,GL,2021-12-13 00:27:22
25,Egvekinot,66.3167,-179.1667,-22.83,80,1,6.58,RU,2021-12-13 00:27:23
26,Maragogi,-9.0122,-35.2225,78.85,80,27,11.14,BR,2021-12-13 00:23:03
27,Cape Town,-33.9258,18.4232,65.08,81,0,1.99,ZA,2021-12-13 00:25:33
28,Ushuaia,-54.8,-68.3,42.46,61,75,25.32,AR,2021-12-13 00:22:42
29,Lebu,-37.6167,-73.65,54.57,73,6,8.48,CL,2021-12-13 00:27:23
30,Tahoua,14.8888,5.2692,71.58,16,0,6.91,NE,2021-12-13 00:27:23
31,Fortuna,40.5982,-124.1573,52.14,87,90,7.0,US,2021-12-13 00:27:24
32,Kruisfontein,-34.0033,24.7314,68.88,96,100,7.11,ZA,2021-12-13 00:27:24
33,Bathsheba,13.2167,-59.5167,81.21,78,40,19.57,BB,2021-12-13 00:27:24
34,Nanortalik,60.1432,-45.2371,21.85,77,39,8.99,GL,2021-12-13 00:27:24
35,Mayumba,-3.432,10.6554,76.39,90,93,1.32,GA,2021-12-13 00:27:25
36,Beringovskiy,63.05,179.3167,-15.45,99,100,13.96,RU,2021-12-13 00:22:30
37,Tasiilaq,65.6145,-37.6368,35.76,81,100,12.41,GL,2021-12-13 00:27:25
38,Busselton,-33.65,115.3333,61.05,52,100,7.52,AU,2021-12-13 00:27:25
39,Khasan,42.4308,130.6434,20.89,46,0,15.95,RU,2021-12-13 00:27:26
40,Bredasdorp,-34.5322,20.0403,61.92,88,100,3.44,ZA,2021-12-13 00:27:26
41,Manjacaze,-24.7117,33.8828,77.9,79,100,3.85,MZ,2021-12-13 00:27:26
42,Vaini,-21.2,-175.2,86.16,79,20,11.5,TO,2021-12-13 00:27:26
43,Mahebourg,-20.4081,57.7,73.69,88,75,4.61,MU,2021-12-13 00:27:27
44,Iqaluit,63.7506,-68.5145,4.73,65,40,5.01,CA,2021-12-13 00:27:27
45,Hermanus,-34.4187,19.2345,62.91,88,68,6.4,ZA,2021-12-13 00:27:27
46,Thompson,55.7435,-97.8558,3.36,85,90,0.0,CA,2021-12-13 00:26:32
47,Tiarei,-17.5333,-149.3333,86.02,74,64,10.27,PF,2021-12-13 00:28:27
48,Tiksi,71.6872,128.8694,-18.42,100,100,2.89,RU,2021-12-13 00:28:28
49,Longyearbyen,78.2186,15.6401,31.84,80,75,19.57,SJ,2021-12-13 00:28:28
